TIME,[id=4b446b43-f290-43f3-afb1-884a053f7e1d|name=/example-org/uk/total-output|description=Total output on all UK wind farms|units=kWh/day],[id=42b7da5b-b65a-4c21-8575-821e5d9dbd7b|name=/example-org/uk/wind-farm-1/total-output|description=Total output on Wind Farm 1|units=kWh/day],[id=e8b38052-4e90-46e1-8c32-a7f70256d149|name=/example-org/uk/wind-farm-1/turbine-1/output|description=Turbine 1 output|units=kWh/day],[id=798bac76-7989-42d0-a16a-56978a68cc71|name=/example-org/uk/wind-farm-1/turbine-1/rotation-speed|description=Turbine 1 rotation speed|units=rpm],[id=ea6b925e-5e8e-45c9-8cd7-c07ab982cf97|name=/example-org/uk/wind-farm-1/turbine-1/wind-speed|description=Turbine 1 wind speed|units=m/s],[id=a23cb6eb-a2b7-403e-8bda-91f4a6be15bd|name=/example-org/uk/wind-farm-1/turbine-2/output|description=Turbine 2 output|units=kWh/day],[id=74d69c7f-c4a3-4a39-a043-3e9b39efd389|name=/example-org/uk/wind-farm-1/turbine-2/rotation-speed|description=Turbine 2 rotation speed|units=rpm],[id=62d1765e-84eb-4bd7-b6cc-c75e8249d035|name=/example-org/uk/wind-farm-1/turbine-2/wind-speed|description=Turbine 2 wind speed|units=m/s],[id=540a1c05-5ca0-45c1-9f80-c899b5a425ca|name=/example-org/uk/wind-farm-2/total-output|description=Total output on Wind Farm 2|units=kWh/day],[id=bc940329-7c4a-4324-a580-6dbf965e9426|name=/example-org/uk/wind-farm-2/turbine-3/output|description=Turbine 3 output|units=kWh/day],[id=fba003c5-7384-440d-ad0c-0876f4be8d75|name=/example-org/uk/wind-farm-2/turbine-3/rotation-speed|description=Turbine 3 rotation speed|units=rpm],[id=71eda84f-d2a1-4f2a-bb37-a1dece1642b1|name=/example-org/uk/wind-farm-2/turbine-3/wind-speed|description=Turbine 3 wind speed|units=m/s],[id=68db29fe-b3fe-4c2a-85f1-7f91fe145964|name=/example-org/uk/wind-farm-2/turbine-4/output|description=Turbine 4 output|units=kWh/day],[id=64d5ac61-8bfb-4d0c-8e66-ef71bc1ca3ea|name=/example-org/uk/wind-farm-2/turbine-4/rotation-speed|description=Turbine 4 rotation speed|units=rpm],[id=2e54dd5f-d89f-4eef-8f43-b4f91ede66fc|name=/example-org/uk/wind-farm-2/turbine-4/wind-speed|description=Turbine 4 wind speed|units=m/s]
2019-10-05T21:07:11Z,26069.33333,12672,6442.666667,8,6.04,6229.333333,8,5.84,13397.33333,6805.333333,9,6.38,6592,8,6.18
2019-10-05T21:07:26Z,26474.66667,12821.33333,6517.333333,8,6.11,6304,8,5.91,13653.33333,6720,8,6.3,6933.333333,9,6.5
2019-10-05T21:07:41Z,26709.33333,13056,6634.666667,8,6.22,6421.333333,8,6.02,13653.33333,6720,8,6.3,6933.333333,9,6.5
2019-10-05T21:07:56Z,27370.66667,14016,6901.333333,9,6.47,7114.666667,9,6.67,13354.66667,6784,8,6.36,6570.666667,8,6.16
2019-10-05T21:08:11Z,27818.66667,14464,7125.333333,9,6.68,7338.666667,9,6.88,13354.66667,6784,8,6.36,6570.666667,8,6.16
2019-10-05T21:08:26Z,28330.66667,14720,7253.333333,9,6.8,7466.666667,9,7,13610.66667,6912,9,6.48,6698.666667,8,6.28
2019-10-05T21:08:41Z,28202.66667,14762.66667,7274.666667,9,6.82,7488,9,7.02,13440,6826.666667,9,6.4,6613.333333,8,6.2
2019-10-05T21:08:56Z,28394.66667,14250.66667,7018.666667,9,6.58,7232,9,6.78,14144,6965.333333,9,6.53,7178.666667,9,6.73
2019-10-05T21:09:11Z,27008,13632,6922.666667,9,6.49,6709.333333,8,6.29,13376,6794.666667,8,6.37,6581.333333,8,6.17
2019-10-05T21:09:26Z,27264,13994.66667,7104,9,6.66,6890.666667,9,6.46,13269.33333,6741.333333,8,6.32,6528,8,6.12
2019-10-05T21:09:41Z,27968,14848,7317.333333,9,6.86,7530.666667,9,7.06,13120,6666.666667,8,6.25,6453.333333,8,6.05
2019-10-05T21:09:56Z,28032,14741.33333,7264,9,6.81,7477.333333,9,7.01,13290.66667,6538.666667,8,6.13,6752,8,6.33
2019-10-05T21:10:11Z,27520,14976,7381.333333,9,6.92,7594.666667,9,7.12,12544,6378.666667,8,5.98,6165.333333,8,5.78
2019-10-05T21:10:26Z,28586.66667,15381.33333,7584,9,7.11,7797.333333,10,7.31,13205.33333,6496,8,6.09,6709.333333,8,6.29
2019-10-05T21:10:41Z,29013.33333,15488,7637.333333,10,7.16,7850.666667,10,7.36,13525.33333,6656,8,6.24,6869.333333,9,6.44
2019-10-05T21:10:56Z,27925.33333,15040,7413.333333,9,6.95,7626.666667,10,7.15,12885.33333,6549.333333,8,6.14,6336,8,5.94
