TIME,Probe_001,Probe_002,Probe_003,Probe_004,Probe_005,Probe_006,Probe_007,Probe_008,Probe_009,Probe_010,Probe_011,Probe_012,Probe_013,Probe_014,Probe_015,Probe_016,Probe_017,Probe_018,Probe_019,Probe_020
2019-01-09T08:11:44Z,56.35,53.64,43.25,57.46,60.13,47.22,53.79,59.13,54.74,54.61,57.60,60.31,55.30,59.10,51.17,42.38,48.22,51.60,40.19,46.32
2019-01-09T08:11:49Z,58.11,54.06,41.55,57.22,61.26,46.08,1972.25,58.64,52.63,55.11,56.27,60.15,56.42,59.99,50.67,43.50,47.67,49.19,39.81,48.19
2019-01-09T08:11:54Z,58.31,52.52,42.59,57.71,60.69,45.70,2021.55,58.17,52.72,2031.25,57.00,60.59,54.65,60.56,50.80,44.78,44.72,49.49,38.96,47.49
2019-01-09T08:11:59Z,56.75,1951.82,40.93,58.75,60.12,46.52,51.38,1877.56,55.60,56.50,56.71,60.11,55.09,61.55,51.12,45.48,46.53,51.87,1909.68,49.44
2019-01-09T08:12:04Z,57.57,54.74,41.24,59.26,60.67,46.20,51.73,58.96,54.29,57.22,56.75,59.53,54.57,62.12,50.81,46.82,47.13,54.03,39.68,48.22
2019-01-09T08:12:09Z,55.89,56.47,41.89,59.61,61.69,45.37,51.29,59.49,56.64,56.44,58.89,59.31,54.72,62.47,50.70,46.28,48.83,53.75,40.89,47.72
2019-01-09T08:12:14Z,54.42,56.90,41.36,58.63,61.92,44.49,50.08,59.15,57.68,57.03,60.00,58.83,55.14,64.67,50.81,45.58,46.93,55.83,41.03,47.87
2019-01-09T08:12:19Z,55.28,57.88,42.09,59.25,62.85,43.60,49.52,59.53,55.17,56.08,60.16,58.32,54.04,66.74,51.19,45.31,47.71,57.31,42.37,49.90
2019-01-09T08:12:24Z,55.43,59.65,40.59,58.98,63.20,43.99,49.89,59.11,55.11,55.98,60.80,58.41,52.42,68.76,50.73,46.59,47.43,58.34,42.16,48.47
2019-01-09T08:12:29Z,57.06,59.85,39.03,59.73,63.95,43.46,49.00,59.02,53.91,2027.71,61.44,58.45,52.82,67.40,50.18,46.50,45.31,56.48,43.25,50.44
2019-01-09T08:12:34Z,55.54,57.98,40.59,58.70,64.21,41.89,47.48,58.88,53.08,54.73,63.86,2017.71,52.71,66.49,50.09,47.70,44.12,55.55,43.12,53.17
2019-01-09T08:12:39Z,56.84,57.47,41.89,59.00,65.33,40.57,46.73,59.10,55.02,55.36,65.08,58.11,50.94,66.09,49.99,48.62,43.44,54.44,41.90,51.03
2019-01-09T08:12:44Z,54.85,57.03,42.79,60.14,64.38,39.70,45.75,58.81,2214.46,56.55,65.66,58.00,51.32,65.74,49.52,47.04,41.46,56.34,42.00,52.48
2019-01-09T08:12:49Z,55.21,55.46,42.82,61.17,63.31,38.09,46.08,58.59,53.65,55.64,63.26,2051.71,52.48,63.72,1930.12,46.16,43.04,55.86,41.46,52.44
2019-01-09T08:12:54Z,53.98,54.03,43.25,60.43,62.48,38.58,45.31,58.79,51.64,54.61,62.61,58.12,53.49,62.77,49.49,46.89,40.69,55.99,42.20,51.07
2019-01-09T08:12:59Z,53.53,54.31,43.42,61.84,61.37,37.28,44.89,1866.36,50.02,54.17,61.24,58.28,53.58,62.90,49.59,46.41,42.24,55.97,43.36,49.92
2019-01-09T08:13:04Z,51.91,53.25,45.12,62.09,61.67,38.00,43.26,58.24,50.70,55.04,60.01,58.76,54.56,64.45,49.08,46.10,39.34,56.74,42.00,51.36
2019-01-09T08:13:09Z,53.92,52.65,44.51,62.53,62.31,39.06,42.02,58.72,47.86,54.77,58.24,58.35,54.08,66.49,48.89,44.71,37.85,55.60,41.90,51.55
2019-01-09T08:13:14Z,56.11,53.44,45.31,61.45,61.39,38.32,43.09,58.68,48.14,53.54,59.96,58.27,55.54,65.09,49.44,46.09,38.19,54.34,41.65,48.89
2019-01-09T08:13:19Z,54.68,2462.22,44.64,62.14,2200.15,39.01,44.20,58.88,46.52,54.56,59.10,58.68,56.96,66.80,49.31,47.22,36.42,53.05,40.34,49.35
2019-01-09T08:13:24Z,55.67,53.57,44.97,63.27,62.54,39.76,44.17,58.68,44.21,55.15,60.01,58.15,57.64,67.36,48.97,46.30,35.47,51.96,39.76,47.98
2019-01-09T08:13:29Z,55.39,53.43,44.11,64.59,61.84,39.67,44.05,58.52,41.74,54.57,58.51,58.30,57.72,67.64,48.37,45.41,33.40,51.82,41.18,48.08
2019-01-09T08:13:34Z,2161.12,53.73,43.12,2373.33,60.92,39.59,45.70,58.46,41.20,53.98,2518.38,58.26,56.60,2404.73,48.89,44.23,32.17,49.54,41.80,46.61
